
Date/Time,076 [°C],076 [m/s],657 [°C],657 [m/s],
14/03/2022 15:24:08,22.5,1.03,22.8,1.90,
14/03/2022 15:24:09,22.5,1.03,22.8,1.91,
14/03/2022 15:24:10,22.5,1.02,22.8,1.92,
14/03/2022 15:24:11,22.5,1.03,22.8,1.90,
14/03/2022 15:24:12,22.5,1.03,22.8,1.88,
14/03/2022 15:24:13,22.5,1.04,22.8,1.86,
14/03/2022 15:24:14,22.5,1.03,22.8,1.87,
14/03/2022 15:24:15,22.5,1.04,22.8,1.89,
14/03/2022 15:24:16,22.5,1.02,22.8,1.90,
14/03/2022 15:24:17,22.5,1.03,22.8,1.86,
14/03/2022 15:24:18,22.5,1.04,22.8,1.89,
14/03/2022 15:24:19,22.5,1.04,22.8,1.90,
14/03/2022 15:24:20,22.5,1.04,22.8,1.89,
14/03/2022 15:24:21,22.5,1.02,22.8,1.90,
14/03/2022 15:24:22,22.5,1.04,22.8,1.89,
14/03/2022 15:24:23,22.5,1.04,22.8,1.91,
14/03/2022 15:24:24,22.5,1.02,22.8,1.87,
14/03/2022 15:24:25,22.5,1.02,22.8,1.89,
14/03/2022 15:24:26,22.5,1.03,22.8,1.82,
14/03/2022 15:24:27,22.5,1.04,22.8,1.87,
14/03/2022 15:24:28,22.5,1.03,22.8,1.87,
14/03/2022 15:24:29,22.5,1.02,22.8,1.86,
14/03/2022 15:24:30,22.5,1.03,22.8,1.86,
14/03/2022 15:24:31,22.5,1.05,22.8,1.88,
14/03/2022 15:24:32,22.5,1.03,22.8,1.90,
14/03/2022 15:24:33,22.5,1.02,22.8,1.88,
14/03/2022 15:24:34,22.5,1.03,22.8,1.85,
14/03/2022 15:24:35,22.5,1.03,22.8,1.88,
14/03/2022 15:24:36,22.5,1.04,22.8,1.90,
14/03/2022 15:24:37,22.5,1.03,22.8,1.85,
14/03/2022 15:24:38,22.5,1.04,22.8,1.91,
14/03/2022 15:24:39,22.5,1.04,22.8,1.86,
14/03/2022 15:24:40,22.5,1.03,22.8,1.87,
14/03/2022 15:24:41,22.5,1.03,22.8,1.85,
14/03/2022 15:24:42,22.5,1.04,22.8,1.85,
14/03/2022 15:24:43,22.5,1.04,22.8,1.86,
14/03/2022 15:24:44,22.5,1.04,22.8,1.90,
14/03/2022 15:24:45,22.5,1.04,22.8,1.85,
14/03/2022 15:24:46,22.5,1.03,22.8,1.84,
14/03/2022 15:24:47,22.5,1.03,22.8,1.86,
14/03/2022 15:24:48,22.5,1.02,22.8,1.91,
14/03/2022 15:24:49,22.5,1.05,22.8,1.91,
14/03/2022 15:24:50,22.5,1.04,22.8,1.89,
14/03/2022 15:24:51,22.5,1.05,22.8,1.89,
14/03/2022 15:24:52,22.5,1.02,22.8,1.83,
14/03/2022 15:24:53,22.5,1.02,22.8,1.86,
14/03/2022 15:24:54,22.5,1.03,22.8,1.87,
14/03/2022 15:24:55,22.5,1.03,22.8,1.87,
14/03/2022 15:24:56,22.5,1.03,22.8,1.87,
14/03/2022 15:24:57,22.5,1.02,22.8,1.89,
14/03/2022 15:24:58,22.5,1.03,22.8,1.88,
14/03/2022 15:24:59,22.5,1.01,22.8,1.91,
14/03/2022 15:25:00,22.5,1.02,22.8,1.88,
14/03/2022 15:25:01,22.5,1.01,22.8,1.87,
14/03/2022 15:25:02,22.5,1.02,22.8,1.87,
14/03/2022 15:25:03,22.5,1.04,22.8,1.90,
14/03/2022 15:25:04,22.5,1.03,22.8,1.89,
14/03/2022 15:25:05,22.5,1.03,22.8,1.90,
14/03/2022 15:25:06,22.5,1.05,22.8,1.89,
14/03/2022 15:25:07,22.5,1.05,22.8,1.91,
14/03/2022 15:25:08,22.5,1.05,22.8,1.89,
14/03/2022 15:25:09,22.5,1.04,22.8,1.84,
14/03/2022 15:25:10,22.5,1.03,22.8,1.87,
14/03/2022 15:25:11,22.5,1.05,22.8,1.90,
